iter	Logloss
0	0.664484375
1	0.6398812917
2	0.6190595194
3	0.5989265951
4	0.5808155924
5	0.564754954
6	0.5510980428
7	0.538483312
8	0.5271317393
9	0.5176628367
10	0.5086381073
11	0.5004663442
12	0.4933472544
13	0.486630249
14	0.4808309835
15	0.475846817
16	0.4712162018
17	0.4669403025
18	0.4630927633
19	0.4596679179
20	0.4566933645
21	0.4541079051
22	0.4517132467
23	0.4493335063
24	0.4473467407
25	0.4456175588
26	0.4438738963
27	0.4421053162
28	0.4407661692
29	0.4395109406
30	0.4381944885
31	0.4370387472
32	0.4359864095
33	0.435060262
34	0.4340822042
35	0.4332486165
36	0.4325124919
37	0.4315800629
38	0.4308911845
39	0.4303545837
40	0.4297198435
41	0.429079127
42	0.4286357117
43	0.4282245636
44	0.4277302551
45	0.4272151693
46	0.4268661702
47	0.4264722697
48	0.4261449127
49	0.4257456207
50	0.4254176839
51	0.4250079549
52	0.4246525523
53	0.4242702993
54	0.4240200602
55	0.4237312063
56	0.4234616241
57	0.423246404
58	0.4229810588
59	0.4227406362
60	0.4225085958
61	0.4222303721
62	0.4220695597
63	0.421854126
64	0.4216311798
65	0.4214346161
66	0.4212490285
67	0.421050588
68	0.4208976186
69	0.4207617391
70	0.4205210266
71	0.4203737996
72	0.4201287028
73	0.4199380493
74	0.4197305196
75	0.4195203145
76	0.4193124949
77	0.4191085968
78	0.4189079336
79	0.4187576955
80	0.4186091715
81	0.4184687144
82	0.4182828725
83	0.4181051534
84	0.4179903259
85	0.4177696075
86	0.4175527293
87	0.4174080455
88	0.4171846364
89	0.4170552419
90	0.4169243622
91	0.416846288
92	0.4167110036
93	0.4165018768
94	0.4163418121
95	0.4161977692
96	0.4160757243
97	0.4159379934
98	0.4158530629
99	0.415727829
100	0.4156268972
101	0.4154942017
102	0.4153235168
103	0.4151914825
104	0.4150761922
105	0.4149918467
106	0.4148533783
107	0.4147252452
108	0.4145736847
109	0.4143989665
110	0.4142553151
111	0.4141213938
112	0.4140407817
113	0.4139097239
114	0.4138286896
115	0.4137077688
116	0.41364475
117	0.4135477193
118	0.4133678233
119	0.4132454376
120	0.4131341807
121	0.4130238444
122	0.4129173381
123	0.412789327
124	0.4127006226
125	0.4126217295
126	0.4124412893
127	0.4123913066
128	0.4122839254
129	0.4121157633
130	0.4119960836
131	0.4118338826
132	0.4117379659
133	0.4115605927
134	0.4114523671
135	0.4113685048
136	0.4112264506
137	0.4111002757
138	0.4109595133
139	0.4107986094
140	0.410713445
141	0.4105935313
142	0.4104608714
143	0.4103687134
144	0.4101954702
145	0.4100752411
146	0.4099841003
147	0.4099166667
148	0.4098008575
149	0.409685379
150	0.4095892893
151	0.4094696604
152	0.4093325551
153	0.4092781728
154	0.409146759
155	0.4089894409
156	0.4088779093
157	0.4087643636
158	0.408659551
159	0.4085493469
160	0.40845342
161	0.4083271077
162	0.4082003276
163	0.4080795593
164	0.4079681244
165	0.4078832804
166	0.4077283478
167	0.4076181386
168	0.4074508667
169	0.4073090719
170	0.4071525014
171	0.4070436249
172	0.4068800456
173	0.4067575633
174	0.4066564941
175	0.406557902
176	0.4064840546
177	0.4064170634
178	0.4063296763
179	0.4062673645
180	0.4061177114
181	0.4059155375
182	0.40583638
183	0.4057544352
184	0.4056884613
185	0.4055335642
186	0.4054005127
187	0.4053069
188	0.4051994019
189	0.4050756582
190	0.4049336243
191	0.4047809753
192	0.404665685
193	0.40457341
194	0.4044581146
195	0.4043168132
196	0.4041616669
197	0.4040334676
198	0.4038638611
199	0.4037618306
200	0.4036216888
201	0.4034678904
202	0.4032802938
203	0.4031491699
204	0.4030577443
205	0.4029198456
206	0.4027490285
207	0.4025732727
208	0.4024392242
209	0.4022898204
210	0.402155009
211	0.4020617421
212	0.4019951375
213	0.4018507843
214	0.4017758687
215	0.4016054688
216	0.4014750468
217	0.4013777059
218	0.4012410482
219	0.4010708313
220	0.4009472351
221	0.4007559204
222	0.4005894267
223	0.4004176381
224	0.4003065643
225	0.400149648
226	0.4000378316
227	0.3998910878
228	0.399737442
229	0.3996403656
230	0.39950796
231	0.399319987
232	0.3992049611
233	0.3991078237
234	0.3988860881
235	0.3987498169
236	0.3986090088
237	0.3984817454
238	0.3983148041
239	0.3982112122
240	0.3980990651
241	0.3979271851
242	0.3978119812
243	0.3977146098
244	0.397666448
245	0.3975325775
246	0.3974174856
247	0.3972296702
248	0.3971017202
249	0.3969509328
250	0.3967945608
251	0.396625061
252	0.396513265
253	0.3963314006
254	0.3961597443
255	0.3959763082
256	0.3957536723
257	0.3956360118
258	0.3955191498
259	0.3954027405
260	0.3953211568
261	0.3951595001
262	0.3949623769
263	0.3948199768
264	0.3946787415
265	0.3945516612
266	0.3944453634
267	0.3943111369
268	0.3941646983
269	0.3940048116
270	0.3939068044
271	0.3937595266
272	0.3936843821
273	0.3935315196
274	0.3933947856
275	0.3931996206
276	0.3930871023
277	0.392990509
278	0.392874354
279	0.3927131399
280	0.392595988
281	0.3924927877
282	0.3923859253
283	0.3922706858
284	0.3921923828
285	0.3920717417
286	0.3920004832
287	0.3918687388
288	0.3917560476
289	0.3916476949
290	0.391541331
291	0.3914184265
292	0.3912264659
293	0.3910759481
294	0.3910251312
295	0.3909026896
296	0.390829834
297	0.3906851654
298	0.3906150055
299	0.3904217478
